City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
166,Kawalu,ID,73.18,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
173,Pemba,MZ,75.9,broken clouds,-12.974,40.5178,Guesthouse Samotina
176,Peachland,CA,76.86,overcast clouds,49.7665,-119.7357,Wine Stopper B&B
179,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
180,Port Said,EG,76.98,clear sky,31.2565,32.2841,Aracan Hotel
181,Razole,IN,85.12,clear sky,16.4833,81.8333,Sterling Palavelli Godavari
185,Boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
187,Jizan,SA,90.54,clear sky,17.3333,42.6667,شهدان. ابوالحجر
190,Abha,SA,71.42,clear sky,18.2164,42.5053,Abha Hotel
191,Kupang,ID,74.95,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
194,Matara,LK,79.59,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
195,Sikonge,TZ,72.14,overcast clouds,-5.6333,32.7667,Pretoria 2 Lodge
198,Kormilovka,RU,71.35,clear sky,55.0026,74.1028,"Zhemchuzhina, Baza Otdykha"
200,Khash,IR,81.05,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
205,Manggar,ID,80.51,scattered clouds,-2.8833,108.2667,Guest Hotel
208,Chalus,IR,74.66,broken clouds,36.655,51.4204,نظام مهندسي ساختمان چالوس
211,Bolivar,US,71.11,overcast clouds,37.6145,-93.4105,Comfort Inn Bolivar
213,Tsaratanana,MG,70.14,clear sky,-16.7833,47.65,
217,Coahuayana,MX,92.95,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
222,Astoria,US,76.62,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
223,Upata,VE,87.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
229,San Onofre,CO,85.93,broken clouds,9.7359,-75.5263,Hotel Sinai
231,Zamora,EC,85.24,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
232,Bengkulu,ID,75.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
234,Natal,BR,84.85,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
239,Tefe,BR,87.91,scattered clouds,-3.3542,-64.7114,Aracati Hotel
243,Namibe,AO,70.95,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
244,Port Blair,IN,81.48,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
245,Yarada,IN,86.32,few clouds,17.65,83.2667,Jeevan
251,Adrar,MR,89.78,overcast clouds,20.5022,-10.0711,
252,Rantauprapat,ID,73.04,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
253,Lasem,ID,77.34,broken clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
256,Dakar,SN,76.08,clear sky,14.6937,-17.4441,Redface Studios Meublés
259,Sao Mateus,BR,77.36,scattered clouds,-18.7161,-39.8589,Hotel Rio Norte
260,Gat,IL,78.4,few clouds,31.61,34.7642,OlusHome
262,Damara,CF,89.02,broken clouds,4.9608,18.7035,
263,Mangan,IN,72.77,overcast clouds,27.5167,88.5333,Hotel Mout View
264,Nicoya,CR,92.75,broken clouds,10.1483,-85.452,Guayacan Real
268,Pontian Kecil,MY,84.27,scattered clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
272,Conceicao Da Barra,BR,77.47,scattered clouds,-18.5933,-39.7322,Cricaré Praia Hotel
273,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
275,Ciudad Guayana,VE,90.52,broken clouds,8.3533,-62.6528,Hotel Las Americas
277,Ciudad Bolivar,VE,90.99,overcast clouds,8.1222,-63.5497,Hotel Edi
279,Monrovia,LR,74.97,light rain,6.3005,-10.7969,Sunset Inn
280,Bangui,CF,89.78,scattered clouds,4.3612,18.555,SAM HOTEL
284,Harper,LR,79.11,light rain,4.375,-7.7169,Screensaver
285,Sungairaya,ID,79.47,scattered clouds,0.7,108.9,Mess P.Milu
286,Praia,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
287,Sanming,CN,71.55,overcast clouds,26.2486,117.6186,Sanming Huangting Lijing Hotel
289,Buta,CD,73.18,broken clouds,2.7858,24.73,HOTEL BISO NA BISO
290,Marzuq,YE,79.27,clear sky,14.4,46.4667,
293,Wanning,CN,81.45,overcast clouds,18.8003,110.3967,Paradise Hotel
295,Selcuk,TR,71.42,overcast clouds,37.9514,27.3685,Archeologica House Ephesus
298,Pocatello,US,75.47,few clouds,42.8713,-112.4455,Clarion Inn Pocatello
299,Half Moon Bay,US,90.57,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
300,Meulaboh,ID,76.41,overcast clouds,4.1363,96.1285,Kost Pria
303,Pimenta Bueno,BR,87.37,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
310,Vanimo,PG,76.93,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
314,Jhawarian,PK,89.58,clear sky,32.3614,72.6228,Asif Sweet Villas homes
316,Dahanu,IN,84.16,overcast clouds,19.9667,72.7333,Pearline Beach Villas
317,Pacific Grove,US,81.81,clear sky,36.6177,-121.9166,Lovers Point Inn
318,Colares,PT,74.88,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
