City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Belen,TR,36.4891,36.2233,64.54,73,20,5.23,few clouds
79,Alugan,PH,12.2188,125.4808,77.95,91,93,2.98,overcast clouds
80,Khatanga,RU,71.9667,102.5,36.28,99,98,7.58,overcast clouds
81,Pierre,US,44.3683,-100.351,74.32,23,1,13.8,clear sky
82,Khorixas,NA,-20.3667,14.9667,65.19,28,55,2.95,broken clouds
83,Jiazi,CN,22.8779,116.067,79.7,89,100,2.82,light rain
84,Saint-Philippe,RE,-21.3585,55.7679,70.21,84,20,5.41,light rain
85,Lucapa,AO,-8.4192,20.7447,67.28,39,55,3.8,broken clouds
86,Faya,SA,18.3851,42.4509,71.71,25,11,5.73,few clouds
87,Lompoc,US,34.6391,-120.4579,78.1,73,40,10.36,scattered clouds
88,Hami,CN,42.8,93.45,68.54,13,0,11.88,clear sky
89,Georgetown,MY,5.4112,100.3354,82.89,87,20,3.0,few clouds
90,Lokosovo,RU,61.1333,74.8167,63.99,58,100,11.48,overcast clouds
91,Velez-Malaga,ES,36.7726,-4.1005,83.16,65,100,4.47,overcast clouds
92,Cody,US,44.5263,-109.0565,67.24,23,1,6.91,clear sky
93,Hobart,AU,-42.8794,147.3294,40.86,91,45,4.63,scattered clouds
94,Thompson,CA,55.7435,-97.8558,50.16,66,40,5.75,scattered clouds
95,Lipari,IT,38.4674,14.954,69.33,73,5,0.45,clear sky
96,Saldanha,ZA,-33.0117,17.9442,58.28,79,100,5.35,overcast clouds
97,Pauini,BR,-7.7136,-66.9764,89.87,52,43,2.13,light rain
98,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,87,75,11.5,broken clouds
99,Gravdal,NO,68.1214,13.5031,48.09,81,75,9.22,broken clouds
100,Barrow,US,71.2906,-156.7887,30.22,86,90,13.8,overcast clouds
101,Nalut,LY,30.3333,10.85,87.03,21,62,12.86,broken clouds
102,Kodiak,US,57.79,-152.4072,47.71,93,90,5.75,overcast clouds
